time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,2,2,9,1
2026-06-11 00:00:00+00:00,17,8,28,2
2026-06-12 00:00:00+00:00,40,10,12,3
2026-06-13 00:00:00+00:00,375,69,13,3
2026-06-14 00:00:00+00:00,188,98,7,1
2026-06-15 00:00:00+00:00,129,57,0,0
2026-06-16 00:00:00+00:00,136,50,3,1
2026-06-17 00:00:00+00:00,60,36,2,1
2026-06-18 00:00:00+00:00,38,12,5,2
2026-06-19 00:00:00+00:00,214,20,37,11
2026-06-20 00:00:00+00:00,213,31,28,17
2026-06-21 00:00:00+00:00,334,50,18,15
2026-06-22 00:00:00+00:00,223,33,29,8
2026-06-23 00:00:00+00:00,329,39,18,6
